pesel;name;surname;second_surname;city;gender;birthday
9602266304234;JULIA;STĘPIEŃ;STĘPIEŃ;Gdynia;K;1996-02-26
0522030048156;KATARZYNA;LEWANDOWSKI;LEWANDOWSKI;Krosno;K;2005-02-03
0826080522161;OLENA;LEWANDOWSKI;LEWANDOWSKI;Krosno;K;2008-06-08
1129227884192;BARBARA;LEWANDOWSKI;LEWANDOWSKI;Krosno;K;2011-09-22
1629084506181;MARIOLA;LEWANDOWSKI;LEWANDOWSKI;Krosno;K;2016-09-08
2225270500115;TERESA;LEWANDOWSKI;LEWANDOWSKI;Krosno;K;2022-05-27
2427134112125;MARIA;LEWANDOWSKI;LEWANDOWSKI;Krosno;K;2024-07-13
9110303354203;OLIWIA;WIĘCEK;WIĘCEK;Aleksandrów Kujawski;K;1991-10-30
0521052320104;BOGUMIŁA;JANISZEWSKI;JANISZEWSKI;Bełchatów;K;2005-01-05
1021198338198;STANISŁAWA;JANISZEWSKI;JANISZEWSKI;Bełchatów;K;2010-01-19
9606143184276;OLIWIA;WIŚNIEWSKI;WIŚNIEWSKI;Opole;K;1996-06-14
0132190052149;TETIANA;WIŚNIEWSKI;WIŚNIEWSKI;Opole;K;2001-12-19
0524153046176;JULIA;WIŚNIEWSKI;WIŚNIEWSKI;Opole;K;2005-04-15
0524035854162;MARZENA;DROZD;DROZD;Warszawa;K;2005-04-03
0930187676269;IRENA;DROZD;DROZD;Warszawa;K;2009-10-18
1329184304153;MARTYNA;DROZD;DROZD;Warszawa;K;2013-09-18
8709211626224;KARINA;SIENKIEWICZ;SIENKIEWICZ;Działdowo;K;1987-09-21
0727080084218;PATRYCJA;WÓJCIK;WÓJCIK;Wrocław;K;2007-07-08
0923301510116;BARBARA;WÓJCIK;WÓJCIK;Wrocław;K;2009-03-30
9407136818237;FELICJA;FLOREK;FLOREK;Leszno;K;1994-07-13
9704047128258;AGATA;FLOREK;FLOREK;Leszno;K;1997-04-04
9511087520220;ZOFIA;KOWALSKI;KOWALSKI;Legnica;K;1995-11-08
0822072542174;RENATA;CZAPLA;CZAPLA;Włocławek;K;2008-02-07
1430053862166;BOŻENA;CZAPLA;CZAPLA;Włocławek;K;2014-10-05
1829178444230;NICOLE;CZAPLA;CZAPLA;Włocławek;K;2018-09-17
2421304540133;HELENA;CZAPLA;CZAPLA;Włocławek;K;2024-01-30
1026142818137;ALEKSANDRA;MALINOWSKI;MALINOWSKI;Kraków;K;2010-06-14
8901056218256;MARIA;KWIECIŃSKI;KWIECIŃSKI;Tuchola;K;1989-01-05
0132165802106;TAMARA;WRONA;WRONA;Mława;K;2001-12-16
0128120762119;HENRYKA;KOŁODZIEJ;KOŁODZIEJ;Szczecin;K;2001-08-12
0127130484154;MAJA;JANIAK;JANIAK;Sławno;K;2001-07-13
0526291282219;ALEKSANDRA;JANIAK;JANIAK;Sławno;K;2005-06-29
1029294440157;ANNA;JANIAK;JANIAK;Sławno;K;2010-09-29
9002105838198;MARZENA;KALETA;KALETA;Poznań;K;1990-02-10
9505051414200;ANNA;KALETA;KALETA;Poznań;K;1995-05-05
9501121780222;JOLANTA;KWIATKOWSKI;KWIATKOWSKI;Kraków;K;1995-01-12
9812297080316;ALICJA;KWIATKOWSKI;KWIATKOWSKI;Kraków;K;1998-12-29
8406304124192;BEATA;GAŁĄZKA;GAŁĄZKA;Rzeszów;K;1984-06-30
1424164468224;MARIA;NOWAKOWSKI;NOWAKOWSKI;Katowice;K;2014-04-16
1923011674188;DANUTA;NOWAKOWSKI;NOWAKOWSKI;Katowice;K;2019-03-01
9412276828281;JULIA;ROSIŃSKI;ROSIŃSKI;Police;K;1994-12-27
9808155088332;ZOFIA;ROSIŃSKI;ROSIŃSKI;Police;K;1998-08-15
0222117448155;KARINA;ROSIŃSKI;ROSIŃSKI;Police;K;2002-02-11
0523155028177;MAGDALENA;ROSIŃSKI;ROSIŃSKI;Police;K;2005-03-15
0822068872215;ALINA;ROSIŃSKI;ROSIŃSKI;Police;K;2008-02-06
1130307308132;MAGDALENA;ROSIŃSKI;ROSIŃSKI;Police;K;2011-10-30
1527226750159;SANDRA;ROSIŃSKI;ROSIŃSKI;Police;K;2015-07-22
1831176100152;AGNIESZKA;ROSIŃSKI;ROSIŃSKI;Police;K;2018-11-17
2231225670158;JADWIGA;ROSIŃSKI;ROSIŃSKI;Police;K;2022-11-22
9505085246272;BOŻENNA;GRABOWSKI;GRABOWSKI;Szczecin;K;1995-05-08
0024036746134;JOANNA;GRABOWSKI;GRABOWSKI;Szczecin;K;2000-04-03
0322234828162;TERESA;DUDEK;DUDEK;Sosnowiec;K;2003-02-23
0822142562180;SYLWIA;DUDEK;DUDEK;Sosnowiec;K;2008-02-14
0428285778257;MARIA;PAWLAK;PAWLAK;Pleszew;K;2004-08-28
9608241512208;IRYNA;JAKUBOWSKI;JAKUBOWSKI;Chełmża;K;1996-08-24
8602140014190;HALINA;CIEŚLA;CIEŚLA;Tomaszów Mazowiecki;K;1986-02-14
0225132214100;MAGDALENA;MAZURKIEWICZ;MAZURKIEWICZ;Warszawa;K;2002-05-13
8505030620157;MONIKA;FILIPEK;FILIPEK;Cieszyn;K;1985-05-03
9005264820184;MARIANNA;FILIPEK;FILIPEK;Cieszyn;K;1990-05-26
9903106060228;CZESŁAWA;NOWAK;NOWAK;Wrocław;K;1999-03-10
0428300372149;OLIWIA;NOWAK;NOWAK;Wrocław;K;2004-08-30
0930218440161;ALEKSANDRA;NOWAK;NOWAK;Wrocław;K;2009-10-21
0228232852140;JULIA;LIPSKI;LIPSKI;Bielawa;K;2002-08-23
0527093388251;JUSTYNA;LIPSKI;LIPSKI;Bielawa;K;2005-07-09
0025162062136;BOGUMIŁA;PODGÓRSKI;PODGÓRSKI;Krosno;K;2000-05-16
8903085132251;KATARZYNA;URBAN;URBAN;Tarnowskie Góry;K;1989-03-08
9101073470214;MAŁGORZATA;URBAN;URBAN;Tarnowskie Góry;K;1991-01-07
8805150246257;RENATA;GAJDA;GAJDA;Katowice;K;1988-05-15
9109153178270;MONIKA;GAJDA;GAJDA;Katowice;K;1991-09-15
0522023752132;TERESA;BEDNAREK;BEDNAREK;Ruda Śląska;K;2005-02-02
0925111884201;ALINA;MATUSZEWSKI;MATUSZEWSKI;Katowice;K;2009-05-11
1124230234122;POLA;MATUSZEWSKI;MATUSZEWSKI;Katowice;K;2011-04-23
7510170080231;URSZULA;PIOTROWSKI;PIOTROWSKI;Marki;K;1975-10-17
7409294874292;WERONIKA;DUDZIŃSKI;DUDZIŃSKI;Warszawa;K;1974-09-29
6206123650157;ZUZANNA;JUSZCZAK;JUSZCZAK;Bełchatów;K;1962-06-12
7607052338239;BEATA;ROMANOWSKI;ROMANOWSKI;Poznań;K;1976-07-05
6105288818237;WIESŁAWA;ŚWIĄTEK;ŚWIĄTEK;Ruda Śląska;K;1961-05-28
6201311712136;MAŁGORZATA;NOWAK;NOWAK;Bielsko-Biała;K;1962-01-31
6102186474241;GRAŻYNA;KISIEL;KISIEL;Szczecin;K;1961-02-18
6810014834195;KATARZYNA;MRÓZ;MRÓZ;Gdynia;K;1968-10-01
7502168266273;ANNA;STRZELCZYK;STRZELCZYK;Słupsk;K;1975-02-16
6707017222172;JADWIGA;MAJEWSKI;MAJEWSKI;Rybnik;K;1967-07-01
7603277762271;LUCYNA;WRÓBEL;WRÓBEL;Wrocław;K;1976-03-27
7904156574288;TERESA;PAWLIK;PAWLIK;Bielsk Podlaski;K;1979-04-15
7003117250150;MARIA;CHMIELEWSKI;CHMIELEWSKI;Mława;K;1970-03-11
6908084570261;JULIA;NAWROCKI;NAWROCKI;Świebodzice;K;1969-08-08
6101070616168;MARIA;RATAJCZAK;RATAJCZAK;Elbląg;K;1961-01-07
7710301384248;BOGUSŁAWA;WYSOCKI;WYSOCKI;Warszawa;K;1977-10-30
6810141254228;MARIA;NOWAK;NOWAK;Zabrze;K;1968-10-14
6203258366247;KATARZYNA;WOŹNIAK;WOŹNIAK;Warszawa;K;1962-03-25
6701036866247;AGNIESZKA;ŻAK;ŻAK;Kraków;K;1967-01-03
7904192440248;GRAŻYNA;MACIEJEWSKI;MACIEJEWSKI;Bielsk Podlaski;K;1979-04-19
6202268354230;EWA;WILK;WILK;Grudziądz;K;1962-02-26
6604147316212;NATALIA;WIĘCKOWSKI;WIĘCKOWSKI;Bytom;K;1966-04-14
6605264178293;WALENTYNA;LEWANDOWSKI;LEWANDOWSKI;Puławy;K;1966-05-26
6902010168237;WERONIKA;ZIELIŃSKI;ZIELIŃSKI;Bielsko-Biała;K;1969-02-01
6105267558253;MARIA;KWAŚNIEWSKI;KWAŚNIEWSKI;Warszawa;K;1961-05-26
7802183708258;MONIKA;MALICKI;MALICKI;Elbląg;K;1978-02-18
6105247323175;JAN;BEDNARSKI;BEDNARSKI;Kraków;M;1961-05-24
6006064641163;KRZYSZTOF;JAKUBIAK;JAKUBIAK;Poznań;M;1960-06-06
7007075141178;JERZY;MICHALIK;MICHALIK;Białystok;M;1970-07-07
7006106189232;KRYSTIAN;BOŻEK;BOŻEK;Sieradz;M;1970-06-10
6606214679271;ZDZISŁAW;SKIBA;SKIBA;Tczew;M;1966-06-21
7911254485306;WIESŁAW;JANICKI;JANICKI;Poznań;M;1979-11-25
6504205827201;ANTONI;KANIA;KANIA;Kamienna Góra;M;1965-04-20
7906077029283;JANUSZ;GAŁĄZKA;GAŁĄZKA;Zabrze;M;1979-06-07
7308300069236;KRZYSZTOF;ZIÓŁKOWSKI;ZIÓŁKOWSKI;Łódź;M;1973-08-30
7605295621237;DAMIAN;AUGUSTYNIAK;AUGUSTYNIAK;Łódź;M;1976-05-29
6508236865251;JAKUB;MARCINIAK;MARCINIAK;Koszalin;M;1965-08-23
6908162585294;DARIUSZ;ZAJĄC;ZAJĄC;Kraków;M;1969-08-16
7606055201170;PIOTR;WIŚNIEWSKI;WIŚNIEWSKI;Zielona Góra;M;1976-06-05
6005172711146;MACIEJ;ŚLIWIŃSKI;ŚLIWIŃSKI;Warszawa;M;1960-05-17
6611112783222;MATEUSZ;PAWLAK;PAWLAK;Szczecin;M;1966-11-11
7702255351237;MARIUSZ;JANIK;JANIK;Bielsko-Biała;M;1977-02-25
6511252861221;TADEUSZ;ŁUKASZEWSKI;ŁUKASZEWSKI;Gliwice;M;1965-11-25
7207191331196;OLIWIER;STANKIEWICZ;STANKIEWICZ;Giżycko;M;1972-07-19
6401187271241;KRZYSZTOF;PAWLAK;PAWLAK;Warszawa;M;1964-01-18
7612155213201;MARCIN;WYSOCKI;WYSOCKI;Szczecin;M;1976-12-15
7105290443217;KAMIL;BOBER;BOBER;Leszno;M;1971-05-29
6307053253194;MATEUSZ;KASZUBA;KASZUBA;Zabrze;M;1963-07-05
7105261359249;BOHDAN;MAZUR;MAZUR;Sosnowiec;M;1971-05-26
7305314128210;MAJA;JABŁOŃSKI;PIETRZYK;Augustów;K;1973-05-31
6911191321224;HUBERT;JABŁOŃSKI;JABŁOŃSKI;Augustów;M;1969-11-19
7001234504148;EWA;ZIELIŃSKI;JANKOWSKI;Kraków;K;1970-01-23
6808230471231;ROBERT;ZIELIŃSKI;ZIELIŃSKI;Radom;M;1968-08-23
7602151186269;DOROTA;ZAJĄCZKOWSKI;DUDEK;Inowrocław;K;1976-02-15
7309168053234;FRANCISZEK;ZAJĄCZKOWSKI;ZAJĄCZKOWSKI;Lubań;M;1973-09-16
6607010362181;ALEKSANDRA;GÓRSKI;ZAWADZKI;Mysłowice;K;1966-07-01
6302192253223;STANISŁAW;GÓRSKI;GÓRSKI;Dęblin;M;1963-02-19
6808144150213;KRYSTYNA;BIAŁEK;WAWRZYNIAK;Poznań;K;1968-08-14
6404094861230;JAKUB;BIAŁEK;BIAŁEK;Poznań;M;1964-04-09
7806015862223;KRYSTYNA;RYBAK;PIOTROWSKI;Warszawa;K;1978-06-01
7605273027253;PRZEMYSŁAW;RYBAK;RYBAK;Warszawa;M;1976-05-27
8004143386239;MAGDA;GŁOWACKI;GÓRKA;Szydłowiec;K;1980-04-14
7709164285293;TOMASZ;GŁOWACKI;GŁOWACKI;Szydłowiec;M;1977-09-16
8102201704137;EWA;NOWICKI;KOWALSKI;Łódź;K;1981-02-20
7802101857235;PIOTR;NOWICKI;NOWICKI;Łódź;M;1978-02-10
7306306006177;OLGA;ANTCZAK;MAJKA;Głogów;K;1973-06-30
7009306235181;TOMASZ;ANTCZAK;ANTCZAK;Głogów;M;1970-09-30
7210083174237;BRONISŁAWA;WĄSIK;ADAMCZYK;Sulechów;K;1972-10-08
6911121551204;IRENEUSZ;WĄSIK;WĄSIK;Sulechów;M;1969-11-12
6608170022194;KRYSTYNA;KULA;WESOŁOWSKI;Sulejówek;K;1966-08-17
6206125427183;ADAM;KULA;KULA;Sulejówek;M;1962-06-12
7104096724208;MARIA;KOZŁOWSKI;STELMACH;Gdynia;K;1971-04-09
6909075067293;KRZYSZTOF;KOZŁOWSKI;KOZŁOWSKI;Przemyśl;M;1969-09-07
6205153528205;DOMINIKA;WÓJTOWICZ;MAJ;Ruda Śląska;K;1962-05-15
6005141775204;ŁUKASZ;WÓJTOWICZ;WÓJTOWICZ;Kraków;M;1960-05-14
7803116232199;WERONIKA;BRZEZIŃSKI;SZYMAŃSKI;Wrocław;K;1978-03-11
7607160739260;ROBERT;BRZEZIŃSKI;BRZEZIŃSKI;Trzcianka;M;1976-07-16
7107013226155;KAMILA;LIS;WRONA;Lublin;K;1971-07-01
6706202401144;ZDZISŁAW;LIS;LIS;Lublin;M;1967-06-20
6308293772257;EWA;RUTKOWSKI;ROGOWSKI;Chorzów;K;1963-08-29
6007036659214;DARIUSZ;RUTKOWSKI;RUTKOWSKI;Chorzów;M;1960-07-03
6508146662226;ZDZISŁAWA;WALKOWIAK;URBAN;Słupsk;K;1965-08-14
6202030471165;JAROSŁAW;WALKOWIAK;WALKOWIAK;Słupsk;M;1962-02-03
7801113642201;MARIA;ŁUCZAK;LESZCZYŃSKI;Elbląg;K;1978-01-11
7406204125181;ZBIGNIEW;ŁUCZAK;ŁUCZAK;Elbląg;M;1974-06-20
7101227344191;KRYSTYNA;ŻURAWSKI;PIOTROWSKI;Drawsko Pomorskie;K;1971-01-22
6803296485323;KAZIMIERZ;ŻURAWSKI;ŻURAWSKI;Drawsko Pomorskie;M;1968-03-29
6805038526225;TERESA;CHRZANOWSKI;ZIÓŁKOWSKI;Lubin;K;1968-05-03
6605046031181;MARIAN;CHRZANOWSKI;CHRZANOWSKI;Poznań;M;1966-05-04
7807083708254;ANNA;WIĘCEK;ADAMSKI;Augustów;K;1978-07-08
7606286131238;MAKSYMILIAN;WIĘCEK;WIĘCEK;Augustów;M;1976-06-28
7105226256214;ANNA;NOWAKOWSKI;AUGUSTYNIAK;Tychy;K;1971-05-22
6711221239234;TYMOTEUSZ;NOWAKOWSKI;NOWAKOWSKI;Tychy;M;1967-11-22
6712117866249;MARIA;KAŁUŻNY;ZAGÓRSKI;Ostrowiec Świętokrzyski;K;1967-12-11
6409233109203;HENRYK;KAŁUŻNY;KAŁUŻNY;Ostrowiec Świętokrzyski;M;1964-09-23
7308084886282;KATARZYNA;GRZELAK;MAZUR;Ostrów Wielkopolski;K;1973-08-08
7103044387237;KAZIMIERZ;GRZELAK;GRZELAK;Ostrów Wielkopolski;M;1971-03-04
7411033266223;JANINA;MAJKA;ZALEWSKI;Łódź;K;1974-11-03
7104100651141;CZESŁAW;MAJKA;MAJKA;Łódź;M;1971-04-10
8106254436223;WACŁAWA;SIKORA;ZIĘBA;Skarżysko-Kamienna;K;1981-06-25
7909096131251;JAKUB;SIKORA;SIKORA;Skarżysko-Kamienna;M;1979-09-09
7502018224179;POLA;JASIŃSKI;JASIŃSKI;Kłobuck;K;1975-02-01
7303182337237;MAREK;JASIŃSKI;JASIŃSKI;Kłobuck;M;1973-03-18
7309204764212;STANISŁAWA;RÓŻYCKI;PŁONKA;Łomża;K;1973-09-20
6903297577339;VITALII;RÓŻYCKI;RÓŻYCKI;Łomża;M;1969-03-29
7904051344235;JULIA;MUSIAŁ;MALINOWSKI;Pruszcz Gdański;K;1979-04-05
7503102715167;KORNEL;MUSIAŁ;MUSIAŁ;Pruszcz Gdański;M;1975-03-10
7701262184280;IWONA;JÓŹWIAK;KACZYŃSKI;Gorzów Wielkopolski;K;1977-01-26
7409291843249;PIOTR;JÓŹWIAK;JÓŹWIAK;Jastrzębie-Zdrój;M;1974-09-29
7010078468253;KAROLINA;MAZURKIEWICZ;WIECZOREK;Piła;K;1970-10-07
6612071719232;DAMIAN;MAZURKIEWICZ;MAZURKIEWICZ;Piła;M;1966-12-07
7810170340219;SYLWIA;SZYMCZYK;KUCZYŃSKI;Gdańsk;K;1978-10-17
7608064647258;JANUSZ;SZYMCZYK;SZYMCZYK;Gdańsk;M;1976-08-06
7701200116183;IWONA;NOWAK;SZEWCZYK;Zamość;K;1977-01-20
7503280749281;LESZEK;NOWAK;NOWAK;Zamość;M;1975-03-28
7305316664229;IWONA;GAWRON;ADAMCZYK;Białystok;K;1973-05-31
6904146579307;BARTŁOMIEJ;GAWRON;GAWRON;Białystok;M;1969-04-14
6806212334205;MAŁGORZATA;SZCZERBA;SMOLIŃSKI;Swarzędz;K;1968-06-21
6601233859261;MAREK;SZCZERBA;SZCZERBA;Skawina;M;1966-01-23
6305130716168;MARCELINA;KUC;MICHAŁOWSKI;Płock;K;1963-05-13
6108253581215;STANISŁAW;KUC;KUC;Płock;M;1961-08-25
7111267830190;IRENA;NOWAK;KARWOWSKI;Mysłowice;K;1971-11-26
6805072285279;WITOLD;NOWAK;NOWAK;Mysłowice;M;1968-05-07
6901035606202;JOANNA;JANKOWSKI;STASIAK;Tarnowskie Góry;K;1969-01-03
6705133269266;MARCIN;JANKOWSKI;JANKOWSKI;Tarnowskie Góry;M;1967-05-13
8304290308237;AGNIESZKA;STACHOWIAK;SZCZEPAŃSKI;Dąbrowa Górnicza;K;1983-04-29
7908083009262;MAKSYMILIAN;STACHOWIAK;STACHOWIAK;Dąbrowa Górnicza;M;1979-08-08
6707216200155;NIKOLA;STAŃCZYK;MIKOŁAJCZYK;Biskupiec;K;1967-07-21
6405307149235;MATEUSZ;STAŃCZYK;STAŃCZYK;Biskupiec;M;1964-05-30
7104191480225;WERONIKA;BEDNARCZYK;PAWLAK;Białystok;K;1971-04-19
6708102583224;SZYMON;BEDNARCZYK;BEDNARCZYK;Białystok;M;1967-08-10
6705263418246;DANUTA;MAKOWSKI;BOCHENEK;Olsztyn;K;1967-05-26
6307124077229;RADOSŁAW;MAKOWSKI;MAKOWSKI;Olsztyn;M;1963-07-12
7802078862270;ŁUCJA;KUBIK;ŁUCZAK;Kraków;K;1978-02-07
7409152333201;IGOR;KUBIK;KUBIK;Kraków;M;1974-09-15
6511221040164;BARBARA;WILK;PRZYBYLSKI;Dąbrowa Górnicza;K;1965-11-22
6303202207153;JERZY;WILK;WILK;Dąbrowa Górnicza;M;1963-03-20
7201145246210;KAROLINA;SZCZEPAŃSKI;TRZCIŃSKI;Wołomin;K;1972-01-14
6810267719273;ZDZISŁAW;SZCZEPAŃSKI;SZCZEPAŃSKI;Wołomin;M;1968-10-26
7608254004206;ANNA;KWIATKOWSKI;BORKOWSKI;Brzeziny;K;1976-08-25
7403213543190;JAN;KWIATKOWSKI;KWIATKOWSKI;Brzeziny;M;1974-03-21
7004036784213;HANNA;LEWICKI;SZYMAŃSKI;Wrocław;K;1970-04-03
